Date,Jobless Claims,,,,,,Macrotrends Data Download
9/1/17,257000,,,,,,
10/1/17,237000,,,,,,
11/1/17,237000,,,,,,
12/1/17,246000,,,,,,
1/1/18,225000,,,,,,
2/1/18,216000,,,,,,
3/1/18,231000,,,,,,
4/1/18,213000,,,,,,
5/1/18,221000,,,,,,
6/1/18,229000,,,,,,
7/1/18,220000,,,,,,
8/1/18,214000,,,,,,
9/1/18,217000,,,,,,
10/1/18,217000,,,,,,
11/1/18,232000,,,,,,
12/1/18,228000,,,,,,
1/1/19,236000,,,,,,
2/1/19,224000,,,,,,
3/1/19,211000,,,,,,
4/1/19,230000,,,,,,
5/1/19,218000,,,,,,
6/1/19,222000,,,,,,
7/1/19,216000,,,,,,
8/1/19,219000,,,,,,
9/1/19,218000,,,,,,
10/1/19,217000,,,,,,
11/1/19,206000,,,,,,
12/1/19,220000,,,,,,
1/1/20,212000,,,,,,
2/1/20,217000,,,,,,
3/1/20,3283000,,,,,,
4/1/20,,,,,,,
5/1/20,,,,,,,
6/1/20,,,,,,,
7/1/20,,,,,,,
8/1/20,,,,,,,
9/1/20,,,,,,,
10/1/20,,,,,,,
11/1/20,,,,,,,
12/1/20,,,,,,,
1/1/21,,,,,,,
2/1/21,,,,,,,
3/1/21,,,,,,,
